Study No,Title,Author(s),Publication_Type,Journal_Name,year_submitted,year_published,Test,The original or translated version of  assessment tool?,Country ,Research Design,Research Design Details,Research Design Details Supporting Quote,Math_level,School_level,University,Grade,Number of Classes,teaching_method_category,teaching_method,teaching_method_quote,Implementation Year,Test_year,test_year_source,percent_female,percent_female_quote,Application Time of Posttest,number_who_took_Pre_test,Pre-score,Pre-Score Supporting Quote,standard_deviation_pre,number_who_took_Post_test,post_score,Supporting Quote For Post Test Score,post_standard_deviatation,number_who_took_test_matched,students_in_row,Supporting Quote for Students in Row,students_in_row_estimate,students_in_row,students_in_row_cat,students_in_row_category,lecture_size,lecture_size_cat,lecture_size_category,lab_size,lab_size_cat,lab_size_category,lab size justification,Supporting Quote for Class Size,students_in_row_source,,Effect Size,Hake_gain_reported,Supporting Quote for Hake Gain,gain_source,Hake_Gain_calculated,Hake_gain,keep_this_row,Comment,Carnegie_classification_name,BASIC2010,LabelBasic,IPUG2010,IPGRAD2010,UGPROFILE2010,ENRPROFILE2010,SIZESET2010,ENG2010,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CC2000,ENROLLMENT,OBEREG,ICLEVEL,CONTROL,LOCALE,ACCRED,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,34,25.5,,1.895,30,64.062,,8.882,30,,,30,30,0-50,1,30,0-50,1,30,0-50,1,,,number_who_took_test_matched,,,51.76,,specifically mentioned in paper,0.518,0.52,TRUE,,Not American,UA,Not American,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,79,25.734,,0.872,77,51.112,,13.22,77,,,77,77,51-100,2,77,51-100,2,77,51-100,2,,,number_who_took_test_matched,,,34.17,,specifically mentioned in paper,0.342,0.34,TRUE,,Not American,UA,Not American,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,55,30.454,,1.303,45,50.208,,9.27,45,,,45,45,51-100,2,45,0-50,1,45,0-50,1,,,number_who_took_test_matched,,,28.4,,specifically mentioned in paper,0.284,0.28,TRUE,,Not American,UA,Not American,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,
,Students' Conceptual Knowledge about Electricity and Magnetism and Its Implications: An Example of Turkish University,"Demirci, Neset",Journal Article,Science Education International,,2006,CSEM,Translated version,Turkey,Weak Experimental,,,CALC,,Balikesir University,,1,Peer Instruction,IE,interview with author,2004,2004,"""After constructing the final translated version of the CSEM test, it was administered to all participants during the second week of spring semester of 2004 as a pre-test, and the last second week of the spring semester of 2004 as a post-test""",49.80%,"In the pretest there were a total 614 (318 were male (51.8 %), 296 were female (48.2 %)), in the posttest there were a total 544 (273 were male (50.2 %), and 271 were female (49.8 %))",Just after treatment,42,28.452,,1.287,38,46.513,,8.6,38,,,38,38,0-50,1,38,0-50,1,38,0-50,1,,,number_who_took_test_matched,,,25.74,,specifically mentioned in paper,0.252,0.25,TRUE,,Not American,UA,Not American,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,
3,The Impact of Peer Instruction on College Students' Beliefs about Physics and Conceptual Understanding of Electricity and Magnetism,"Gok, Tolga",Journal Article,International Journal of Science and Mathematics Education,2011,2011,CSEM,Translated version,Turkey,Quasi-experimental,Solomon four group design,"""The Solomon four-group design involves assignment of subjects to...""",ALG,undergraduate,unspecified,freshmen,1,Peer Instruction,IE,"""The treatment groups were taught using peer instruction mentioned in the “Introduction” section. """,Unspecified,2011,year_submitted,48.62%,"""The number of students who completed the study in the treatment groups included 72 students. In this group, 52.38% were male and 48.62% were female. """,Just after treatment,37,40.5,Table III,,72,77.8,Table 3,,37,138,"""students (N = 138) enrolled on freshman level...""",37,37,0-50,1,37,0-50,1,37,0-50,1,,Table 3,number_who_took_test_matched,,,0.62,Table 3,specifically mentioned in paper,0.627,0.63,TRUE,,Not American,UA,Not American,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,
,The Impact of Peer Instruction on College Students' Beliefs about Physics and Conceptual Understanding of Electricity and Magnetism,"Gok, Tolga",Journal Article,International Journal of Science and Mathematics Education,2011,2011,CSEM,Translated version,Turkey,Quasi-experimental,,four groups.,ALG,,unspecified,,1,Traditional,TRAD,"""The control groups were taught using the traditional didactic lecture method of instruction (i.e. students listened as the instructor lectured on the content).""",Unspecified,2011,year_submitted,48.48%,"""A total of 66 students participated in the control groups. Like the treatment group, most of the students in this group were male (51.52%), with fewer female (48.48%). """,Just after treatment,34,41.2,Table III,,66,62.5,Table 3,,34,,physics course.,34,34,0-50,1,34,0-50,1,34,0-50,1,,Table 3,number_who_took_test_matched,,,0.36,Table 3,specifically mentioned in paper,0.362,0.36,TRUE,,Not American,UA,Not American,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,UA,
5,Using multimedia learning modules in a hybrid-online course in electricity and magnetism,"Sadaghiani, H. R.",Journal Article,Physical Review  Special Topics-Physics Education Research,2010,2011,CSEM,Original version,USA,Quasi-experimental ,Pre-test post-test control group design,"""Students in one section of PHY133 served as the control group while the experimental hybrid-MLM group was offered the MLM as online prelecture assignments.""",CALC,undergraduate,California State Polytechnic University,freshmen,1,Peer Instruction,IE,"""The MLMs used in this study, developed by the UIUC PER group, are combinations of various media within a single computer program streamed online. The MLMs are learning activities designed to introduce the key course concepts through flash animations with synchronous narrations that are typically 12–15 min long...The design of the multimedia learning modules is informed by the findings of physics education research as well as in-depth research on  ultimedia learning. The multimedia learning modules utilize the findings of research in physics education in its content.""",2009,2009,"""in Spring 2009 we designed a controlled study to investigate the effectiveness of the online prelectures on student learning, achievement, and preparation for class discussions.""",,,Just after treatment,40,27,"""27% +/- 3%""",3,40,54,54% +/- 3%,3,40,82,"""PHY 133 served as the control group (N = 48) while the experimental hybrid-MLM group (N = 34) was offered the MLM as online prelecutre assignments.""",40,40,0-50,1,40,0-50,1,40,0-50,1,,"""control group (N = 48)""","TABLE I ""N=40""",,,0.37,"""<g> = 37%""",specifically mentioned in paper,0.37,0.37,TRUE,,California State Polytechnic University-Pomona,18,Masters,13,4,11,3,15,0,18,13,4,11,3,15,21,22273,8,1,1,21,8,
,Using multimedia learning modules in a hybrid-online course in electricity and magnetism,"Sadaghiani, H. R.",Journal Article,Physical Review  Special Topics-Physics Education Research,2010,2011,CSEM,,USA,Quasi-experimental ,,"""Students in one section of PHY133 served as the control group while the experimental hybrid-MLM group was offered the MLM as online prelecture assignments.""",CALC,,California State Polytechnic University,,1,Hybrid Online Peer Instruction,IE,"""The MLMs used in this study, developed by the UIUC PER group, are combinations of various media within a single computer program streamed online. The MLMs are learning activities designed to introduce the key course concepts through flash animations with synchronous narrations that are typically 12–15 min long...The design of the multimedia learning modules is informed by the findings of physics education research as well as in-depth research on  ultimedia learning. The multimedia learning modules utilize the findings of research in physics education in its content.""",2009,2009,"""in Spring 2009 we designed a controlled study to investigate the effectiveness of the online prelectures on student learning, achievement, and preparation for class discussions.""",,,Just after treatment,29,24,"""24% +/- 3%""",4,29,58,58% +/- 3%,4,29,,,29,29,0-50,1,29,0-50,1,29,0-50,1,,"""experimental hybrid-MLM group (N = 34)""","TABLE I ""N=29""",,,0.45,"""<g> = 45%""",specifically mentioned in paper,0.447,0.45,TRUE,,California State Polytechnic University-Pomona,18,Masters,13,4,11,3,15,0,18,13,4,11,3,15,21,22273,8,1,1,21,8,
7,Evaluating an electricity and magnetism assessment tool: Brief electricity and magnetism assessment,Lin Ding,Journal Article,Physical Review  Special Topics-Physics Education Research,2005,2006,BEMA,Original version,USA,Non-experimental,Survey,"""BEMA was first administered to 189 paid volunteers at CMU …""",CALC,undergraduate,Carnegie Mellon University,freshmen,Unspecified,Mixed (Traditional & Matter and Interactions),MIXED,,1997,1997,,,,Delayed,,23,"""Pretest scores average around 23%.""",,189,45.3,Table I,5.9,,434,Table I: Overall = 434,Unspecified,,unspecified,,,,,,,,,,Unspecified,,,,,,0.29,0.29,TRUE,We can not use for teachıng method. It is mixed.,Carnegie Mellon University,15,Doctoral,11,15,12,5,17,0,15,11,15,12,5,14,15,11197,2,1,2,11,3,
,Evaluating an electricity and magnetism assessment tool: Brief electricity and magnetism assessment,Lin Ding,Journal Article,Physical Review  Special Topics-Physics Education Research,2005,2006,BEMA,,USA,,,,CALC,,North Carolina State University,,Unspecified,Mixed (Traditional & Matter and Interactions),MIXED,,2003,2003,,,,Delayed,,23,"""Pretest scores average around 23%.""",,245,38.7,Table I,6,, ,,Unspecified,,unspecified,,,,,,,,,,Unspecified,,,,,,0.204,0.2,TRUE,We can not use for teachıng method. It is mixed.,North Carolina State University at Raleigh,15,Doctoral,11,17,12,4,16,3,15,11,17,13,4,16,15,33819,5,1,1,11,7,
8,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,Original version,USA,Quasi-experimental ,Pre-test post-test control group design,"""… we combine these quarters together and name them the 'comparison' group… Figure 1 shows pre-test averages, post-test averages, absolute gains, and normalized gains.""",CALC,undergraduate,Ohio State University,freshmen,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2003,2003,FIGURE I,,,Just after treatment,225,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,225,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,225,2198,"""In this paper, we used matched data (N=2198) for analysis…""",225,225,201-500,4,225,201-500,4,225,201-500,4,,Fig. I,number_who_took_test_matched,,,18.5,"""…normalized gains have increased from 18.5% in the comparison group…""",specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2004,2004,FIGURE I,,,Just after treatment,293,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,293,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,293,,,293,293,201-500,4,293,201-500,4,293,201-500,4,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2004,2004,FIGURE I,,,Just after treatment,224,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,224,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,224,,,224,224,201-500,4,224,201-500,4,224,201-500,4,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2004,2004,FIGURE I,,,Just after treatment,34,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,34,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,34,,,34,34,0-50,1,34,0-50,1,34,0-50,1,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2004,2004,FIGURE I,,,Just after treatment,240,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,240,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,240,,,240,240,201-500,4,240,201-500,4,240,201-500,4,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2005,2005,FIGURE I,,,Just after treatment,213,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,213,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,213,,,213,213,201-500,4,213,201-500,4,213,201-500,4,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2005,2005,FIGURE I,,,Just after treatment,178,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,178,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,178,,,178,178,101-200,3,178,101-200,3,178,101-200,3,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
,Effects of testing conditions on conceptual survey results,"Lin Ding, Neville W. Reay, Albert Lee, and Lei Bao ",Journal Article,Physical Review  Special Topics-Physics Education Research,2008,2008,CSEM,,USA,,,,CALC,,Ohio State University,,1,Traditional,TRAD,"""Before the 2005 Fall quarter, lectures were given traditionally.""",2005,2005,FIGURE I,,,Just after treatment,30,35.625,"Fig. 2: ""Avg. = 11.4 (36%)",2.996323529,30,47.5,"Fig. 4: ""Avg = 15.2""",0.294117647,30,,,30,30,0-50,1,30,0-50,1,30,0-50,1,,Fig. I,number_who_took_test_matched,,,18.5,,specifically mentioned in paper,0.184,0.18,TRUE,,Ohio State University-Main Campus,15,Doctoral,11,14,13,4,15,3,15,11,14,13,4,16,15,55014,3,1,1,11,5,
